user_query,intent,response,source,timestamp,drift_tag
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-01-01,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-01-02,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-01-03,clean
hi,greeting,auto-response for greeting,synthetic,2025-01-04,clean
I want a refund,refund,auto-response for refund,synthetic,2025-01-05,clean
hello there,greeting,auto-response for greeting,synthetic,2025-01-06,clean
invoice looks wrong,billing,auto-response for billing,synthetic,2025-01-07,clean
hello there,greeting,auto-response for greeting,synthetic,2025-01-08,clean
enterprise cost,pricing,auto-response for pricing,synthetic,2025-01-09,clean
I want a refund,refund,auto-response for refund,synthetic,2025-01-10,clean
track order #1106,order_status,auto-response for order_status,synthetic,2025-01-11,clean
reset my password,account,auto-response for account,synthetic,2025-01-12,clean
pricing tiers,pricing,auto-response for pricing,synthetic,2025-01-13,clean
how do I call the API,api_help,auto-response for api_help,synthetic,2025-01-14,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-01-15,clean
good morning,greeting,auto-response for greeting,synthetic,2025-01-16,clean
hey,greeting,auto-response for greeting,synthetic,2025-01-17,clean
I want a refund,refund,auto-response for refund,synthetic,2025-01-18,clean
enterprise cost,pricing,auto-response for pricing,synthetic,2025-01-19,clean
good morning,greeting,auto-response for greeting,synthetic,2025-01-20,clean
hey,greeting,auto-response for greeting,synthetic,2025-01-21,clean
close my account,account,auto-response for account,synthetic,2025-01-22,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-01-23,clean
money back please,refund,auto-response for refund,synthetic,2025-01-24,clean
hello there,greeting,auto-response for greeting,synthetic,2025-01-25,clean
reset my password,account,auto-response for account,synthetic,2025-01-26,clean
reset my password,account,auto-response for account,synthetic,2025-01-27,clean
track order #6977,order_status,auto-response for order_status,synthetic,2025-01-28,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-01-29,clean
why was I charged twice,billing,auto-response for billing,synthetic,2025-01-30,clean
enterprise cost,pricing,auto-response for pricing,synthetic,2025-01-31,clean
enterprise cost,pricing,auto-response for pricing,synthetic,2025-02-01,clean
enterprise cost,pricing,auto-response for pricing,synthetic,2025-02-02,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-02-03,clean
track order #4598,order_status,auto-response for order_status,synthetic,2025-02-04,clean
how much is the pro plan,pricing,auto-response for pricing,synthetic,2025-02-05,clean
question about my bill,billing,auto-response for billing,synthetic,2025-02-06,clean
update email on account,account,auto-response for account,synthetic,2025-02-07,clean
how do I call the API,api_help,auto-response for api_help,synthetic,2025-02-08,clean
feature not working,technical_support,auto-response for technical_support,synthetic,2025-02-09,clean
error 500 on login,technical_support,auto-response for technical_support,synthetic,2025-02-10,clean
